,Cidade,Estado,AreaUrbana
485,São Sebastião do Paraíso,MG,19.7157
486,Santa Inês,MA,19.6721
487,Nova Odessa,SP,19.6365
488,Itajubá,MG,19.5058
489,Várzea Paulista,SP,19.4947
490,Iguatu,CE,19.4588
491,Tupã,SP,19.4398
492,São Lourenço da Mata,PE,19.412
493,Campo Novo do Parecis,MT,19.3415
494,Igarapé,MG,19.3249
495,Salinópolis,,19.2688
496,Floriano,PI,19.1155
497,Santo Estêvão,,19.043
498,Abreu e Lima,PE,18.9961
499,Monte Mor,SP,18.9921
500,Santana,AP,18.9743
501,Paracatu,MG,18.9494
502,Teutônia,RS,18.949
503,Patos,PB,18.9321
504,Codó,MA,18.9259
505,Tianguá,CE,18.8844
506,Nova Serrana,MG,18.7957
507,Pedro Leopoldo,MG,18.783
508,São Borja,RS,18.7755
509,Dias d'Ávila,,18.7195
510,São Félix do Xingu,,18.6927
511,Armação dos Búzios,RJ,18.6917
512,Mirassol,SP,18.6553
513,Barra Velha,SC,18.6543
514,Braço do Norte,SC,18.6149
515,Taboão da Serra,SP,18.6092
516,Paracuru,CE,18.6007
517,Conceição do Coité,,18.5705
518,Serra do Ramalho,,18.3722
519,São Gabriel,RS,18.3058
520,Paraty,RJ,18.2792
521,Ibiporã,PR,18.2711
522,Medianeira,PR,18.2538
523,Formiga,MG,18.2537
524,Viçosa,MG,18.227
525,Nova Petrópolis,RS,18.1868
526,Guaxupé,MG,18.1444
527,Estância Velha,RS,18.1386
528,Cidade Ocidental,GO,18.1297
529,Timóteo,MG,18.1272
530,Santo Antônio do Descoberto,GO,18.1245
531,Itaporanga d'Ajuda,SE,18.1063
532,Imbé,RS,18.0855
533,Alfenas,MG,17.9992
534,Paraíso do Tocantins,TO,17.9521
535,Ferraz de Vasconcelos,SP,17.9475
536,Hidrolândia,GO,17.7946
537,Parintins,AM,17.7885
538,Guararema,SP,17.7772
539,Nova Viçosa,,17.7602
540,Olímpia,SP,17.734
541,Januária,MG,17.6804
542,Capitão Poço,,17.645
543,Barreirinhas,MA,17.6393
544,Guaramirim,SC,17.6213
545,Muriaé,MG,17.6069
546,Bom Despacho,MG,17.5933
547,Candeias,,17.5462
548,Belterra,,17.5266
549,São Miguel do Oeste,SC,17.4904
550,Pinheiro,MA,17.4584
551,Bom Jesus da Lapa,,17.4171
552,Garopaba,SC,17.2528
553,Batatais,SP,17.2222
554,Cabreúva,SP,17.2058
555,Ibitinga,SP,17.1609
556,Belo Jardim,PE,17.1429
557,Capanema,,17.1411
558,Arroio do Meio,RS,17.1213
559,São Gabriel da Cachoeira,AM,17.1093
560,Caratinga,MG,17.0926
561,Salgueiro,PE,17.0792
562,Tabatinga,AM,17.0205
563,Salto de Pirapora,SP,17.001
564,Videira,SC,16.9633
565,Garibaldi,RS,16.9401
566,Santiago,RS,16.937
567,Mongaguá,SP,16.9253
568,Mata de São João,,16.9241
569,Araripina,PE,16.889
570,Camaquã,RS,16.8876
571,Senhor do Bonfim,,16.8617
572,Porangatu,GO,16.8278
573,Três Rios,RJ,16.8194
574,Pederneiras,SP,16.7711
575,Palotina,PR,16.729
576,Itatiaia,RJ,16.6565
577,Porto Ferreira,SP,16.6404
578,Santa Isabel,SP,16.6304
579,São Gonçalo dos Campos,,16.595
580,Paudalho,PE,16.5676
581,Naviraí,MS,16.5364
582,Capivari,SP,16.41
583,Xinguara,,16.3999
584,Acaraú,CE,16.3326
585,Assu,RN,16.3237
586,Penedo,AL,16.3004
587,Santa Vitória do Palmar,RS,16.2879
588,Andradina,SP,16.2846
589,Guajará-Mirim,RO,16.2831
590,Rio Largo,AL,16.2729
591,Campo Formoso,,16.2605
592,Prudentópolis,PR,16.2508
593,Balneário Camboriú,SC,16.1643
594,Seabra,,16.0711
595,Pacajus,CE,16.0586
596,Rio Bonito,RJ,16.0392
597,Laguna,SC,16.0384
598,Viçosa do Ceará,CE,16.0259
599,Chapadinha,MA,15.9922
600,Presidente Epitácio,SP,15.9837
601,Novo Progresso,,15.9817
602,Colniza,MT,15.9771
603,Sousa,PB,15.9683
604,Palmas,PR,15.9488
605,Frutal,MG,15.9068
606,Panambi,RS,15.9024
607,Curuçá,,15.8659
608,Portão,RS,15.8548
609,Jaru,RO,15.844
610,Santo Antônio de Jesus,,15.7516
611,Delmiro Gouveia,AL,15.7369
612,Rio Negrinho,SC,15.726
613,São José do Rio Pardo,SP,15.7054
614,Assis Chateaubriand,PR,15.6713
615,Campo Verde,MT,15.658
616,Viseu,,15.6536
617,Coronel Fabriciano,MG,15.65
618,Tutóia,MA,15.645
619,Registro,SP,15.6255
620,Tijucas,SC,15.56
621,Viana,ES,15.5561
622,Cruzeiro,SP,15.5407
623,Aquidauana,MS,15.5332
624,Santa Luzia,MA,15.5318
625,Louveira,SP,15.5304
626,Itapema,SC,15.5303
627,Santa Izabel do Pará,,15.5156
628,Vitória de Santo Antão,PE,15.5025
629,Manacapuru,AM,15.502
630,Janaúba,MG,15.4873
631,Campina Grande do Sul,PR,15.4788
632,Novo Repartimento,,15.4247
633,Nova Mutum,MT,15.3947
634,Estrela,RS,15.3807
635,Vargem Grande Paulista,SP,15.3642
636,Nova Santa Rita,RS,15.3349
637,São Caetano do Sul,SP,15.3307
638,Itapecuru-Mirim,MA,15.2893
639,Arroio do Sal,RS,15.2859
640,Morrinhos,GO,15.2656
641,Novo Gama,GO,15.2589
642,Esteio,RS,15.2541
643,Cametá,,15.1802
644,Serra Talhada,PE,15.1752
645,Camboriú,SC,15.1456
646,Inhumas,GO,15.1133
647,Parobé,RS,15.0921
648,São Joaquim de Bicas,MG,15.088
649,Artur Nogueira,SP,15.0841
650,São Mateus do Sul,PR,15.0529
651,São Luiz Gonzaga,RS,15.0172
652,Jales,SP,14.986
653,São Raimundo Nonato,PI,14.9782
654,Caieiras,SP,14.9574
655,Crateús,CE,14.9207
656,Limoeiro do Norte,CE,14.9108
657,Salvaterra,,14.8538
658,Surubim,PE,14.8495
659,Entre Rios,,14.8404
660,Ilha Comprida,SP,14.7406
661,Tailândia,,14.7313
662,Cosmópolis,SP,14.7281
663,Jaraguá,GO,14.7189
664,Trairi,CE,14.7184
665,Taquaritinga,SP,14.6183
666,Niquelândia,GO,14.5993
667,Rorainópolis,RR,14.5752
668,Dois Vizinhos,PR,14.5629
669,Uruaçu,GO,14.56
670,Pacatuba,CE,14.5373
671,Valença,RJ,14.5034
672,Rio Negro,PR,14.4681
673,Cabedelo,PB,14.4364
674,Maranguape,CE,14.4167
675,Paranaíba,MS,14.4164
676,Jandira,SP,14.4152
677,Marialva,PR,14.4074
678,Euclides da Cunha,,14.4052
679,Padre Bernardo,GO,14.4043
680,Quirinópolis,GO,14.3805
681,Cataguases,MG,14.3403
682,Castro,PR,14.3299
683,Cajazeiras,PB,14.3025
684,Ribeira do Pombal,,14.2575
685,Guaíra,PR,14.2431
686,Poá,SP,14.2376
687,Santo Amaro,,14.1756
688,Charqueadas,RS,14.1712
689,Curitibanos,SC,14.1562
690,Carpina,PE,14.1519
691,Tietê,SP,14.123
692,Normandia,RR,14.1138
693,Caicó,RN,14.0727
694,Mangaratiba,RJ,14.0575
695,Vera Cruz,RS,14.0392
696,Coruripe,AL,13.9594
697,Juara,MT,13.9298
698,Santa Cruz do Rio Pardo,SP,13.9249
699,Altos,PI,13.9098
700,Buriticupu,MA,13.9002
701,Forquilhinha,SC,13.8472
702,Mesquita,RJ,13.8297
703,Iporá,GO,13.8055
704,Penha,SC,13.7965
705,Pontes e Lacerda,MT,13.7594
706,Coxim,MS,13.7201
707,Missão Velha,CE,13.6975
708,Marapanim,,13.6576
709,Rosário do Sul,RS,13.6271
710,Alenquer,,13.6116
711,Campo Maior,PI,13.6061
712,Pedro II,PI,13.598
713,Lagoa da Prata,MG,13.5953
714,Flores da Cunha,RS,13.5315
715,São Miguel do Iguaçu,PR,13.5017
716,Itaberaba,,13.4948
717,Serra Negra,SP,13.4778
718,Iguaba Grande,RJ,13.4596
719,Cerquilho,SP,13.4429
720,Arcoverde,PE,13.3901
721,São Benedito,CE,13.3774
722,Ilhabela,SP,13.3524
723,Maracanã,,13.3398
724,São João Batista,SC,13.3096
725,Palmares do Sul,RS,13.3069
726,Matozinhos,MG,13.3023
727,Manhuaçu,MG,13.2801
728,Prado,,13.2778
729,Chapada dos Guimarães,MT,13.2272
730,Marau,RS,13.222
731,Miguel Pereira,RJ,13.2092
732,Capão do Leão,RS,13.1722
733,Brumado,,13.1569
734,Carlos Barbosa,RS,13.1246
735,Dracena,SP,13.1022
736,Monte Alto,SP,13.0769
737,Santa Helena,PR,13.062
738,São Sebastião do Caí,RS,12.9991
739,Pimenta Bueno,RO,12.9981
740,Brejo Santo,CE,12.9955
741,Paty do Alferes,RJ,12.9836
742,Barras,PI,12.9582
743,Confresa,MT,12.9542
744,Lapa,PR,12.9371
745,Touros,RN,12.8813
746,Jacundá,,12.8771
747,Santa Helena de Goiás,GO,12.8734
748,Guabiruba,SC,12.8528
749,São Joaquim da Barra,SP,12.8499
750,Cornélio Procópio,PR,12.8403
751,Nova Andradina,MS,12.8292
752,São Bento do Una,PE,12.8068
753,Humaitá,AM,12.8043
754,Manicoré,AM,12.8042
755,Rio Pardo,RS,12.7926
756,Poxoréu,MT,12.7824
757,Pilar do Sul,SP,12.7705
758,Itaqui,RS,12.7485
759,Frederico Westphalen,RS,12.672
760,Pesqueira,PE,12.6291
761,Guarantã do Norte,MT,12.6253
762,Dom Pedrito,RS,12.6066
763,Arcos,MG,12.5755
764,Balneário Pinhal,RS,12.567
765,Campo Belo,MG,12.4911
766,João Pinheiro,MG,12.4823
767,Santa Cruz do Capibaribe,PE,12.4338
768,Adamantina,SP,12.4262
769,Óbidos,,12.4217
770,Agudo,RS,12.3981
771,Conceição do Araguaia,,12.3937
772,Jardinópolis,SP,12.3351
773,Barra Bonita,SP,12.2951
774,Coroatá,MA,12.2853
775,Tucano,,12.2594
776,Piracuruca,PI,12.2467
777,Pedreira,SP,12.2109
778,Ilha de Itamaracá,PE,12.204
779,Novo Horizonte,SP,12.1915
780,Piedade,SP,12.1904
781,Itaberaí,GO,12.1715
782,Bela Vista de Goiás,GO,12.1672
783,Três Marias,MG,12.1671
784,Taquari,RS,12.1607
785,Cruz das Almas,,12.1597
786,Santa Fé do Sul,SP,12.1554
787,Barra dos Coqueiros,SE,12.1415
788,Goiatuba,GO,12.135
789,Astorga,PR,12.1235
790,São Francisco,MG,12.1064
791,Itápolis,SP,12.0937
792,Balneário Piçarras,SC,12.0849
793,Balneário Gaivota,SC,12.0837
794,Mucuri,,12.0622
795,Dom Eliseu,,12.011
796,Caeté,MG,11.9994
797,Santana do Araguaia,,11.9974
798,Diamantina,MG,11.9823
799,Joaçaba,SC,11.9758
800,Dois Irmãos,RS,11.9733
801,Tucumã,,11.9647
802,São Manuel,SP,11.9394
803,Santa Maria da Boa Vista,PE,11.9232
804,Ivaiporã,PR,11.8925
805,Presidente Dutra,MA,11.8816
806,Quixeramobim,CE,11.8676
807,Itamaraju,,11.839
808,Garça,SP,11.8175
809,Palmeira das Missões,RS,11.8147
810,Mariana,MG,11.7667
811,São Sebastião,AL,11.7571
812,Conceição do Jacuípe,,11.745
813,Monte Carmelo,MG,11.7387
814,Esperantina,PI,11.7198
815,Quatro Barras,PR,11.713
816,Candelária,RS,11.7049
817,Morada Nova,CE,11.6942
818,Cidreira,RS,11.6921
819,Tomé-Açu,,11.6915
820,Laranjeiras do Sul,PR,11.6866
821,Guaraciaba do Norte,CE,11.6804
822,Agudos,SP,11.6345
823,Aparecida do Taboado,MS,11.6338
824,Icó,CE,11.6081
825,Campos Novos,SC,11.5887
826,Igarapé-Miri,,11.5681
827,Caçapava do Sul,RS,11.5355
828,Santo Antônio da Platina,PR,11.5258
829,Porto União,SC,11.5228
830,São Francisco de Paula,RS,11.5119
831,Soledade,RS,11.511
832,Nova Mamoré,RO,11.5088
833,Valença,,11.4996
834,Oeiras,PI,11.4993
835,Dois Córregos,SP,11.4736
836,Bayeux,PB,11.4732
837,Morretes,PR,11.4278
838,José de Freitas,PI,11.4023
839,Várzea da Palma,MG,11.3715
840,Barreirinha,AM,11.3448
841,Massaranduba,SC,11.336
842,Itapemirim,ES,11.3257
843,Zé Doca,MA,11.3096
844,Iturama,MG,11.3075
845,Bom Princípio,RS,11.3016
846,Itapetinga,,11.2997
847,Três Passos,RS,11.2946
848,Balneário Arroio do Silva,SC,11.2847
849,Ponte Nova,MG,11.2729
850,Itaitinga,CE,11.2691
851,Quixadá,CE,11.2674
852,Encantado,RS,11.2646
853,Anchieta,ES,11.261
854,Colinas do Tocantins,TO,11.232
855,Porangaba,SP,11.2142
856,Canarana,MT,11.2121
857,Brotas,SP,11.21
858,Serra do Mel,RN,11.1819
859,Nova Prata,RS,11.1747
860,Casimiro de Abreu,RJ,11.1319
861,Restinga Sêca,RS,11.1172
862,Ituporanga,SC,11.085
863,Ivoti,RS,11.0673
864,São Lourenço do Sul,RS,11.0606
865,Colinas,MA,11.0599
866,Presidente Venceslau,SP,11.0554
867,Imbituva,PR,11.0506
868,Igrejinha,RS,11.0458
869,Ouro Branco,MG,11.0423
870,Santana do Paraíso,MG,11.0219
871,Mandaguari,PR,10.9846
872,Presidente Figueiredo,AM,10.9785
873,Sidrolândia,MS,10.8802
874,Vargem Grande do Sul,SP,10.8672
875,Tremembé,SP,10.8538
876,Biritiba Mirim,SP,10.8316
877,Poconé,MT,10.8288
878,Maracaju,MS,10.8282
879,Augusto Corrêa,,10.8239
880,Pindoretama,CE,10.8238
881,Iperó,SP,10.8201
882,São Francisco do Conde,,10.8199
883,Porto Real,RJ,10.7995
884,Água Boa,MT,10.7856
885,Pacaraima,RR,10.7802
886,Goioerê,PR,10.7794
887,Nova Venécia,ES,10.7671
888,Caracaraí,RR,10.7505
889,Ourilândia do Norte,,10.7478
890,Tanguá,RJ,10.7171
891,José Bonifácio,SP,10.7124
892,Paraguaçu Paulista,SP,10.6397
893,Bocaiuva,MG,10.6312
894,Uruará,,10.6165
895,Três Pontas,MG,10.6121
896,Santa Cruz Cabrália,,10.5742
897,Rio Brilhante,MS,10.5697
898,Amambai,MS,10.5662
899,São Luís de Montes Belos,GO,10.5614
900,Orlândia,SP,10.5048
901,Guaíra,SP,10.496
902,Presidente Getúlio,SC,10.4911
903,Chapadão do Sul,MS,10.4842
904,Visconde do Rio Branco,MG,10.4707
905,Icapuí,CE,10.4675
906,Araguatins,TO,10.4419
907,Ituverava,SP,10.4274
908,Vassouras,RJ,10.4269
909,Xaxim,SC,10.4238
910,Esplanada,,10.4236
911,Jacarezinho,PR,10.4194
912,Capão Bonito,SP,10.406
913,João Câmara,RN,10.4036
914,Itararé,SP,10.4032
915,Feliz,RS,10.3956
916,Bombinhas,SC,10.3883
917,Marataízes,ES,10.3848
918,Batalha,PI,10.3649
919,São Lourenço,MG,10.3554
920,Aripuanã,MT,10.3503
921,Santo Amaro da Imperatriz,SC,10.3186
922,Ulianópolis,,10.3149
923,Paraíba do Sul,RJ,10.3099
924,Pires do Rio,GO,10.3093
925,Sombrio,SC,10.3072
926,Cantá,RR,10.3047
927,Leopoldina,MG,10.2927
928,Tauá,CE,10.2905
929,Tefé,AM,10.2882
930,Arame,MA,10.2591
931,Colíder,MT,10.2568
932,Descalvado,SP,10.24
933,Jardim,MS,10.2295
934,Bariri,SP,10.2155
935,Piracaia,SP,10.212
936,Canindé,CE,10.1996
937,Maravilha,SC,10.1911
938,Posse,GO,10.18
939,Santa Rita do Sapucaí,MG,10.1748
940,Camocim,CE,10.162
941,Bela Vista,MS,10.1619
942,Peixoto de Azevedo,MT,10.1363
943,Juruti,,10.1268
944,Diamantino,MT,10.1073
945,Casa Branca,SP,10.1031
946,Maués,AM,10.0765
947,Guariba,SP,10.0623
948,Jaguariaíva,PR,10.0602
949,União dos Palmares,AL,10.0426
950,Ubajara,CE,10.0417
951,Palmeira,PR,10.0379
952,Pitanga,PR,10.0211
953,Nova Esperança,PR,10.0148
954,Ouro Fino,MG,10.0131
